loss,Train,Validation,Test
2.2512316703796387,0.1948,0.1924,0.1975
2.2383031845092773,0.1643111111111111,0.161,0.1725
2.2218809127807617,0.24004444444444445,0.241,0.2483
2.163149356842041,0.24415555555555554,0.2448,0.2596
2.1398401260375977,0.24855555555555556,0.2402,0.26
2.2500531673431396,0.25455555555555553,0.2444,0.2688
2.175020694732666,0.2660666666666667,0.261,0.2879
2.213534355163574,0.25882222222222223,0.2578,0.2802
2.2032406330108643,0.26568888888888886,0.2532,0.2799
2.11089825630188,0.27282222222222224,0.2722,0.2907
2.1860623359680176,0.2496,0.2482,0.2597
2.119129180908203,0.29644444444444445,0.2914,0.3098
2.019304037094116,0.29431111111111113,0.2906,0.3025
2.0721347332000732,0.30475555555555556,0.294,0.3188
2.1809208393096924,0.3085555555555556,0.3032,0.3243
2.1224417686462402,0.32711111111111113,0.3214,0.3428
2.114640235900879,0.3396,0.3342,0.3501
2.1083428859710693,0.34502222222222223,0.3392,0.3477
2.137094259262085,0.3588222222222222,0.342,0.3722
2.0785298347473145,0.38484444444444443,0.38,0.3948
2.076479911804199,0.38535555555555556,0.3744,0.3911
2.0779612064361572,0.38855555555555554,0.3812,0.4008
1.989473819732666,0.39466666666666667,0.3788,0.4031
2.0714797973632812,0.40095555555555557,0.391,0.4154
2.090496778488159,0.40184444444444445,0.4044,0.419
2.0610263347625732,0.4226,0.411,0.4388
2.023582935333252,0.43404444444444445,0.4272,0.4457
2.0261759757995605,0.42991111111111113,0.4228,0.455
2.0120928287506104,0.44353333333333333,0.425,0.4458
1.9509514570236206,0.4431777777777778,0.428,0.4642
2.0329275131225586,0.4513333333333333,0.4416,0.4739
2.0280256271362305,0.45555555555555555,0.448,0.4656
2.040771961212158,0.4573111111111111,0.4448,0.4678
1.94728684425354,0.48244444444444445,0.4682,0.4968
1.976075530052185,0.4854888888888889,0.478,0.496
1.9096955060958862,0.4838,0.4712,0.5007
2.026095390319824,0.48113333333333336,0.4782,0.493
1.9844229221343994,0.4482888888888889,0.428,0.4763
1.99950110912323,0.512,0.5064,0.5165
1.8549660444259644,0.5060444444444444,0.497,0.5172
1.9311853647232056,0.5112888888888889,0.5018,0.5221
1.9996763467788696,0.4915777777777778,0.4826,0.5066
2.0072011947631836,0.5088444444444444,0.5,0.5281
1.7571600675582886,0.5227333333333334,0.515,0.5278
1.894592523574829,0.5283555555555556,0.5168,0.534
2.00352144241333,0.5307111111111111,0.5256,0.5401
2.0042333602905273,0.5266888888888889,0.512,0.5401
1.9281967878341675,0.5411777777777778,0.5272,0.5434
1.8679485321044922,0.5378666666666667,0.5408,0.557
1.9722251892089844,0.5384666666666666,0.5236,0.5384
1.954393982887268,0.5428,0.5294,0.5421
1.995314121246338,0.5497777777777778,0.535,0.5499
1.9118974208831787,0.5416,0.5336,0.5488
1.8293977975845337,0.5536222222222222,0.5406,0.5617
1.9510964155197144,0.5561111111111111,0.5556,0.5603
1.892741322517395,0.5571111111111111,0.5444,0.5611
1.9802417755126953,0.5667111111111112,0.553,0.5672
1.911561369895935,0.5501333333333334,0.5392,0.5605
1.765389084815979,0.5660222222222222,0.556,0.5754
1.8813809156417847,0.5698,0.5618,0.5705
1.9227204322814941,0.5815111111111111,0.5676,0.5831
1.8740946054458618,0.5839555555555556,0.5728,0.5765
1.894255518913269,0.5876444444444444,0.5766,0.5895
1.8208653926849365,0.5898,0.5816,0.5973
1.8427246809005737,0.5900666666666666,0.5764,0.5905
1.9108515977859497,0.5926,0.5814,0.5922
1.851854920387268,0.5936888888888889,0.5926,0.5902
1.8358399868011475,0.5932222222222222,0.5854,0.5869
1.7453252077102661,0.5994,0.5978,0.5917
1.9059611558914185,0.6032,0.5944,0.6067
1.8552979230880737,0.6090444444444445,0.5992,0.6088
1.9208507537841797,0.6094888888888889,0.6068,0.6051
1.8035117387771606,0.6157111111111111,0.6044,0.6112
1.8010849952697754,0.6165555555555555,0.6044,0.6131
1.8868193626403809,0.6213555555555555,0.6036,0.6137
1.8496949672698975,0.6202222222222222,0.6052,0.6146
1.8306488990783691,0.6241555555555556,0.6096,0.6165
1.9047279357910156,0.6245111111111111,0.6028,0.6226
1.8138864040374756,0.6261333333333333,0.6186,0.617
1.8189665079116821,0.6306444444444445,0.6106,0.6183
1.7941423654556274,0.6318444444444444,0.6172,0.6284
1.9572834968566895,0.6321111111111111,0.6162,0.6223
1.8119019269943237,0.6336,0.6096,0.6273
1.9089274406433105,0.6342,0.6152,0.6305
1.8819760084152222,0.6353777777777778,0.6164,0.6304
1.7869091033935547,0.6356,0.6186,0.6275
1.741323709487915,0.6362888888888889,0.6168,0.6313
1.7950273752212524,0.6367333333333334,0.6196,0.6299
1.7955259084701538,0.6368222222222222,0.6174,0.6272
1.7499160766601562,0.6399777777777778,0.623,0.6307
