loss,Train,Validation,Test
2.1640491485595703,0.24724444444444443,0.2538,0.2518
2.1831743717193604,0.27875555555555553,0.284,0.2862
2.03599214553833,0.32855555555555555,0.3292,0.3384
2.084470510482788,0.35944444444444446,0.3496,0.3644
2.0527875423431396,0.37884444444444443,0.3736,0.39
2.1572537422180176,0.3941777777777778,0.3974,0.4041
2.0023276805877686,0.39482222222222224,0.3994,0.3856
2.05361008644104,0.42502222222222225,0.4222,0.4085
2.0490450859069824,0.44095555555555555,0.445,0.4348
1.9718472957611084,0.47584444444444446,0.4708,0.4705
2.0279338359832764,0.5005333333333334,0.4982,0.4969
1.9505400657653809,0.5165333333333333,0.5128,0.5115
1.945932388305664,0.5309111111111111,0.5296,0.5163
1.9344267845153809,0.5485777777777778,0.5396,0.5544
1.9042595624923706,0.5642444444444444,0.5544,0.5519
1.9298444986343384,0.5820666666666666,0.5786,0.5764
1.7789556980133057,0.5927555555555556,0.5818,0.5907
1.84093177318573,0.6075777777777778,0.5974,0.5968
1.8909579515457153,0.6120666666666666,0.6112,0.6017
1.719950556755066,0.6195333333333334,0.6106,0.6107
1.8650450706481934,0.6124444444444445,0.6072,0.5821
1.8592172861099243,0.6298,0.619,0.6278
1.8366734981536865,0.6511111111111111,0.6408,0.6304
1.8323582410812378,0.6467555555555555,0.6354,0.6193
1.7038452625274658,0.6614666666666666,0.6556,0.6464
1.7575411796569824,0.6509111111111111,0.6384,0.6426
1.824259638786316,0.6646666666666666,0.6506,0.6455
1.7698962688446045,0.6667777777777778,0.6604,0.6529
1.7984188795089722,0.6820222222222222,0.6694,0.6523
1.6826446056365967,0.6756444444444445,0.6648,0.656
1.7664084434509277,0.6897777777777778,0.6814,0.6816
1.738899827003479,0.6883777777777778,0.684,0.6796
1.8146981000900269,0.6820444444444445,0.6732,0.6649
1.773543357849121,0.6834222222222223,0.6678,0.6668
1.7466322183609009,0.6980888888888889,0.6842,0.6851
1.7723827362060547,0.6997555555555556,0.6948,0.6873
1.7609527111053467,0.703,0.6872,0.6883
1.7624223232269287,0.7218888888888889,0.7122,0.7068
1.7253702878952026,0.7144222222222222,0.7114,0.6976
1.6780033111572266,0.7140222222222222,0.6964,0.7055
1.721909999847412,0.7311777777777778,0.717,0.7041
1.8117520809173584,0.7313777777777778,0.724,0.7051
1.80466628074646,0.7241111111111111,0.7104,0.7185
1.745766282081604,0.7181111111111111,0.7022,0.71
1.7391393184661865,0.7338,0.7248,0.7063
1.6426209211349487,0.7415111111111111,0.7268,0.7244
1.7595652341842651,0.7479333333333333,0.7376,0.7296
1.741528034210205,0.7510888888888889,0.7338,0.7332
1.7520365715026855,0.7498666666666667,0.733,0.7194
1.6705530881881714,0.7456222222222222,0.731,0.717
1.6509416103363037,0.7598,0.7462,0.739
1.7055914402008057,0.7612,0.743,0.74
1.736947774887085,0.7640222222222223,0.7522,0.741
1.7078968286514282,0.7623333333333333,0.7438,0.7285
1.6970324516296387,0.7670222222222223,0.748,0.7455
1.7757867574691772,0.7698888888888888,0.7554,0.7419
1.7107994556427002,0.7707111111111111,0.756,0.7439
1.7225791215896606,0.7721555555555556,0.7476,0.7445
1.6803220510482788,0.7741777777777777,0.7554,0.7483
1.7660942077636719,0.7788444444444445,0.7576,0.753
1.6889652013778687,0.7823333333333333,0.7636,0.76
1.634816288948059,0.7877555555555555,0.7616,0.7594
1.7011628150939941,0.7842,0.7614,0.7589
1.6452269554138184,0.7921333333333334,0.772,0.7669
1.665671944618225,0.7944888888888889,0.7796,0.7675
1.7053627967834473,0.7923555555555556,0.7674,0.7652
1.6362342834472656,0.7983333333333333,0.781,0.7676
1.5889986753463745,0.8018222222222222,0.772,0.7734
1.7032806873321533,0.8029111111111111,0.7776,0.776
1.6394685506820679,0.8098222222222222,0.79,0.7851
1.679948091506958,0.8092222222222222,0.784,0.7805
1.6679832935333252,0.8117555555555556,0.7836,0.7829
1.7025607824325562,0.8131555555555555,0.7938,0.782
1.6211129426956177,0.8208888888888889,0.7962,0.7861
1.6471290588378906,0.8197333333333333,0.7912,0.7832
1.6561098098754883,0.8209555555555555,0.794,0.7807
1.6181951761245728,0.8217777777777778,0.7978,0.7794
1.5723445415496826,0.8245111111111111,0.801,0.7896
1.5688282251358032,0.8257333333333333,0.8002,0.7888
1.6613945960998535,0.8263555555555555,0.7974,0.7855
1.6406335830688477,0.8279777777777778,0.7982,0.7897
1.5828429460525513,0.8290666666666666,0.7946,0.7888
1.6436784267425537,0.8326222222222223,0.7992,0.7906
1.6304885149002075,0.8324666666666667,0.8078,0.7912
1.6288737058639526,0.8315555555555556,0.8044,0.79
1.6419411897659302,0.8318222222222222,0.8002,0.7915
1.6839051246643066,0.8319333333333333,0.8052,0.7889
1.594720721244812,0.8332222222222222,0.812,0.796
1.6474080085754395,0.8330444444444445,0.8038,0.7964
1.594812035560608,0.8321555555555555,0.8052,0.7924
