loss,Train,Validation,Test
2.1296515464782715,0.26786666666666664,0.2694,0.2713
2.2342605590820312,0.3081111111111111,0.311,0.3062
2.3053855895996094,0.3585777777777778,0.367,0.3607
2.254817008972168,0.3841777777777778,0.3858,0.3767
1.9963291883468628,0.4156666666666667,0.41,0.4059
2.1567819118499756,0.4778222222222222,0.4752,0.4637
1.7905808687210083,0.5147777777777778,0.5128,0.5032
2.1427595615386963,0.5360888888888888,0.534,0.5169
1.8549365997314453,0.5588888888888889,0.5574,0.5427
2.0848543643951416,0.5642,0.555,0.5558
1.8051265478134155,0.6060444444444445,0.5986,0.5855
1.5692564249038696,0.603,0.6054,0.5787
1.995884895324707,0.6066888888888889,0.5938,0.6002
1.8656370639801025,0.6211333333333333,0.6076,0.6247
1.7741694450378418,0.5970888888888889,0.5896,0.5736
2.178727626800537,0.6121111111111112,0.6054,0.5968
1.82090425491333,0.6494,0.6432,0.6254
2.1781039237976074,0.6413111111111112,0.6346,0.6343
1.6523752212524414,0.6387111111111111,0.6426,0.6152
1.7398228645324707,0.6452666666666667,0.643,0.6443
1.8739780187606812,0.6467333333333334,0.6374,0.6196
1.967193603515625,0.6556444444444445,0.646,0.6438
1.840423345565796,0.6640444444444444,0.6624,0.646
1.7147271633148193,0.6669333333333334,0.6574,0.6495
1.8284624814987183,0.6765777777777777,0.6674,0.6594
1.9470058679580688,0.6445555555555555,0.6358,0.6372
1.735965371131897,0.6644888888888889,0.6614,0.6514
2.0353968143463135,0.681,0.6702,0.6689
1.8019561767578125,0.6812222222222222,0.6776,0.6744
2.0346899032592773,0.6800888888888889,0.6818,0.6784
1.8738861083984375,0.6704222222222223,0.6762,0.6402
1.6459192037582397,0.6739333333333334,0.672,0.6757
1.7484310865402222,0.6892222222222222,0.6832,0.6763
1.9386184215545654,0.7215111111111111,0.7116,0.7153
1.9573677778244019,0.7169777777777778,0.713,0.7071
1.8367010354995728,0.7148666666666667,0.715,0.6838
1.867157220840454,0.719,0.7114,0.687
1.9340085983276367,0.7197555555555556,0.7204,0.7087
1.7655576467514038,0.7227111111111111,0.7214,0.6949
1.7455222606658936,0.7302666666666666,0.7242,0.7073
1.9255778789520264,0.7320444444444445,0.7278,0.718
1.7232078313827515,0.7394666666666667,0.7456,0.7233
1.5299856662750244,0.7519777777777777,0.7474,0.7277
1.590768814086914,0.7510222222222223,0.7468,0.7293
1.9128787517547607,0.7389777777777777,0.7398,0.7237
1.979404330253601,0.7427111111111111,0.7412,0.7236
1.8337175846099854,0.7500666666666667,0.7476,0.7319
1.9437379837036133,0.7541555555555556,0.7522,0.7212
1.8141376972198486,0.7605333333333333,0.756,0.745
1.8961161375045776,0.7486222222222222,0.7494,0.7383
1.715348720550537,0.7688666666666667,0.7592,0.7483
1.8059520721435547,0.7702888888888889,0.7686,0.7523
1.7484257221221924,0.7719111111111111,0.7582,0.7523
1.8947274684906006,0.7554222222222222,0.743,0.7377
1.7143263816833496,0.7598222222222222,0.755,0.7308
1.9024103879928589,0.7766888888888889,0.781,0.7598
1.6967480182647705,0.7918888888888889,0.7858,0.7641
1.9349009990692139,0.7846888888888889,0.774,0.7592
1.6529755592346191,0.7935333333333333,0.782,0.7734
1.4748555421829224,0.7895777777777778,0.773,0.7656
1.9321372509002686,0.7779333333333334,0.7754,0.7548
1.8920303583145142,0.7815111111111112,0.78,0.7591
1.9368529319763184,0.7997777777777778,0.7898,0.7828
1.9521305561065674,0.8057777777777778,0.7986,0.7869
1.8283838033676147,0.8058,0.7898,0.7764
1.4883214235305786,0.803,0.7992,0.7777
1.809196949005127,0.8093777777777778,0.8016,0.7786
1.818113923072815,0.8129777777777778,0.7952,0.7862
1.7183754444122314,0.8233555555555555,0.8012,0.7976
1.699277400970459,0.8210222222222222,0.8084,0.7911
1.617582082748413,0.8290444444444445,0.8192,0.7983
1.6611510515213013,0.8340888888888889,0.8138,0.7911
1.8395233154296875,0.8352666666666667,0.813,0.7956
1.5402698516845703,0.8415111111111111,0.8226,0.8012
1.7939295768737793,0.8476444444444444,0.8362,0.8161
1.5847123861312866,0.8486666666666667,0.8298,0.8138
1.590406894683838,0.8496222222222222,0.8302,0.8112
1.638771653175354,0.8542222222222222,0.8386,0.8123
1.5139474868774414,0.8642888888888889,0.8446,0.822
1.672987937927246,0.8654222222222222,0.8406,0.8244
1.8474507331848145,0.8672222222222222,0.8382,0.8244
1.7358630895614624,0.8724888888888889,0.8478,0.833
1.65961492061615,0.8753777777777778,0.8452,0.8258
1.6181203126907349,0.8772,0.8516,0.8235
1.9545011520385742,0.8811777777777777,0.8556,0.8365
2.010951519012451,0.8830666666666667,0.8592,0.835
1.7105131149291992,0.8862888888888889,0.8526,0.8378
1.536407232284546,0.8873555555555556,0.8578,0.8418
1.7002986669540405,0.8918666666666667,0.8608,0.8378
1.7076938152313232,0.8918666666666667,0.8628,0.8433
1.7704650163650513,0.8944,0.859,0.8415
1.4625718593597412,0.8965555555555556,0.863,0.8425
1.7136151790618896,0.8974666666666666,0.8632,0.8422
1.580970048904419,0.8986888888888889,0.8684,0.8439
1.7026822566986084,0.8997111111111111,0.864,0.8465
1.6265462636947632,0.8996,0.8664,0.8465
1.5360366106033325,0.9001333333333333,0.862,0.8453
1.7832870483398438,0.9019777777777778,0.8666,0.8466
1.7081787586212158,0.8999111111111111,0.8658,0.8475
1.4817124605178833,0.9006444444444445,0.8638,0.8476
