loss,Train,Validation,Test
2.2519755363464355,0.3078222222222222,0.3192,0.3131
2.0890514850616455,0.30924444444444443,0.3108,0.3185
2.1978654861450195,0.3652888888888889,0.3664,0.3796
2.1981546878814697,0.3713111111111111,0.3788,0.3925
2.230316638946533,0.39653333333333335,0.4012,0.4069
2.066657066345215,0.4205111111111111,0.429,0.4178
2.031869649887085,0.4683555555555556,0.469,0.4516
2.2884387969970703,0.5094666666666666,0.5138,0.4899
1.9138450622558594,0.5209777777777778,0.5198,0.5257
2.118880033493042,0.5530222222222222,0.5558,0.5432
2.1407454013824463,0.5603777777777778,0.5622,0.5577
2.101809024810791,0.5893111111111111,0.5942,0.5758
2.1090617179870605,0.5917111111111111,0.5874,0.5856
1.9723296165466309,0.6054,0.6012,0.6068
1.93812894821167,0.6077111111111111,0.6074,0.5884
1.9095375537872314,0.5991777777777778,0.589,0.5629
2.119096279144287,0.6291777777777777,0.6268,0.6257
1.75547456741333,0.6408666666666667,0.6384,0.6192
1.6436067819595337,0.6363555555555556,0.6422,0.6253
1.8238155841827393,0.6485333333333333,0.6464,0.6161
2.082245111465454,0.6464222222222222,0.6374,0.6296
1.6341698169708252,0.6589555555555555,0.6494,0.6388
1.8697168827056885,0.6619111111111111,0.6712,0.6453
1.89316987991333,0.6628222222222222,0.6604,0.6435
1.8482096195220947,0.6693777777777777,0.6672,0.6464
2.0972564220428467,0.6786,0.6674,0.663
1.708633303642273,0.6762888888888889,0.667,0.6661
1.8086687326431274,0.6961111111111111,0.6962,0.6808
1.6370762586593628,0.6897777777777778,0.6876,0.6772
1.7829675674438477,0.6770222222222222,0.6798,0.6323
2.132828950881958,0.6925777777777777,0.6984,0.6627
1.839991569519043,0.7195555555555555,0.7078,0.713
1.823347806930542,0.7117555555555556,0.7156,0.6881
1.7477247714996338,0.7148888888888889,0.7102,0.6835
1.720041275024414,0.7102666666666667,0.7128,0.698
1.7999436855316162,0.7210888888888889,0.7192,0.7112
1.5068559646606445,0.7318444444444444,0.7266,0.6962
1.5666579008102417,0.7460888888888889,0.7432,0.7319
1.5768977403640747,0.7194666666666667,0.714,0.6962
1.9364194869995117,0.7392666666666666,0.742,0.7194
1.8017860651016235,0.7352444444444445,0.728,0.7142
1.7374987602233887,0.7442444444444445,0.7416,0.7186
1.807183861732483,0.7296666666666667,0.7362,0.7152
1.9937801361083984,0.7448222222222223,0.7416,0.723
1.8612661361694336,0.7625111111111111,0.7518,0.7327
1.909287929534912,0.7579111111111111,0.7562,0.7435
1.6470047235488892,0.7592444444444445,0.7592,0.7445
1.9594347476959229,0.7676444444444445,0.7658,0.7451
1.4638521671295166,0.7670444444444444,0.7644,0.7489
1.7054790258407593,0.7640666666666667,0.7598,0.7504
2.0848402976989746,0.7712222222222223,0.7692,0.7487
1.6653262376785278,0.7653111111111112,0.7586,0.7421
1.8380656242370605,0.7760666666666667,0.774,0.7637
1.4967715740203857,0.778,0.7718,0.7528
1.8184690475463867,0.7718222222222222,0.7624,0.7489
1.8351762294769287,0.7854222222222222,0.7756,0.7662
1.6574342250823975,0.7752888888888889,0.771,0.7398
1.6848317384719849,0.7983555555555556,0.7882,0.7637
1.7189035415649414,0.8008222222222222,0.785,0.7706
1.8260232210159302,0.7984444444444444,0.792,0.7658
1.7180300951004028,0.7966888888888889,0.788,0.7504
1.4974498748779297,0.8053777777777777,0.791,0.7687
1.728713035583496,0.8082666666666667,0.801,0.7743
1.462428331375122,0.8047555555555556,0.7936,0.7824
1.9251292943954468,0.8056,0.7934,0.778
1.7668358087539673,0.8154,0.8048,0.7859
1.561444878578186,0.8186444444444444,0.8002,0.7871
1.785630702972412,0.8234666666666667,0.8096,0.7835
1.6367281675338745,0.8232444444444444,0.8092,0.7911
1.840317726135254,0.8306222222222223,0.8158,0.7881
1.5632145404815674,0.8345111111111111,0.8226,0.7821
1.4844820499420166,0.8373333333333334,0.824,0.8014
1.7171971797943115,0.8445333333333334,0.8274,0.8019
1.5867429971694946,0.8459777777777778,0.8268,0.8017
1.6587435007095337,0.8471333333333333,0.83,0.8058
1.4659931659698486,0.8566,0.837,0.8124
1.7323349714279175,0.8588888888888889,0.8324,0.8069
1.5500810146331787,0.8577333333333333,0.8394,0.8066
1.840630292892456,0.8646,0.8388,0.8125
1.4612433910369873,0.8682888888888889,0.8508,0.8207
1.6090081930160522,0.8735555555555555,0.8538,0.8226
1.6062369346618652,0.8770666666666667,0.8506,0.8323
1.711037278175354,0.8794222222222222,0.8478,0.8305
1.584545612335205,0.8823333333333333,0.855,0.8315
1.4787544012069702,0.8846888888888889,0.858,0.8352
1.4791228771209717,0.8877777777777778,0.8566,0.8336
1.5130729675292969,0.8896666666666667,0.8532,0.8369
1.5839890241622925,0.8946444444444445,0.856,0.8401
1.7292277812957764,0.8950666666666667,0.8608,0.835
1.7084084749221802,0.8960222222222223,0.8636,0.8383
1.4807159900665283,0.8988888888888888,0.8622,0.8365
1.6208515167236328,0.9004222222222222,0.8716,0.8416
1.704896092414856,0.9015777777777778,0.8678,0.841
1.5905218124389648,0.9023111111111111,0.8598,0.8407
1.7028437852859497,0.9048888888888889,0.8628,0.8424
1.679042935371399,0.9043333333333333,0.8706,0.8419
1.6544992923736572,0.9044444444444445,0.8754,0.8413
1.6155000925064087,0.9046888888888889,0.8648,0.8416
1.4623758792877197,0.9051333333333333,0.8682,0.8419
1.6842364072799683,0.9056888888888889,0.8688,0.8412
