loss,Train,Validation,Test
1.0806108713150024,0.39295555555555556,0.407,0.4151
1.2391818761825562,0.4708222222222222,0.4838,0.4764
0.7892328500747681,0.5132888888888889,0.5256,0.5048
0.7655906081199646,0.5834888888888888,0.5886,0.5704
1.42190682888031,0.6395111111111111,0.6414,0.6348
1.056182622909546,0.6692888888888889,0.6646,0.647
0.499317467212677,0.6924444444444444,0.6854,0.6797
1.067013144493103,0.7170444444444445,0.7126,0.7038
0.9605118036270142,0.7400444444444444,0.7252,0.7132
1.9199492931365967,0.7323333333333333,0.7282,0.7279
1.191576361656189,0.7433333333333333,0.7272,0.7351
0.37320268154144287,0.8058888888888889,0.7744,0.7764
0.9067119359970093,0.8180222222222222,0.7956,0.7844
0.7631499171257019,0.8092444444444444,0.7828,0.7774
1.1366521120071411,0.8134222222222223,0.7874,0.7851
0.19579578936100006,0.8157333333333333,0.7842,0.7852
0.24118414521217346,0.8611777777777778,0.8228,0.8301
0.15577025711536407,0.8404222222222222,0.8102,0.8034
0.15904420614242554,0.8604,0.8376,0.8196
0.5392391085624695,0.8437555555555556,0.8078,0.8054
0.6303690075874329,0.8677555555555555,0.8314,0.8202
0.07998143881559372,0.8496222222222222,0.817,0.8091
0.16243566572666168,0.8784,0.8376,0.8273
0.01716635189950466,0.8898,0.8484,0.8358
0.32494041323661804,0.8845555555555555,0.841,0.8364
0.429826021194458,0.8899777777777778,0.846,0.8245
0.2652566432952881,0.9061333333333333,0.862,0.8558
0.41453900933265686,0.8892666666666666,0.8464,0.8409
0.3781236410140991,0.8841777777777777,0.8376,0.8345
0.255497545003891,0.9125777777777778,0.863,0.8552
0.2660984992980957,0.9045777777777778,0.8488,0.834
0.5166398286819458,0.9086444444444445,0.8502,0.8462
1.0662479400634766,0.8859333333333334,0.8382,0.8259
0.11468227952718735,0.9157555555555555,0.8626,0.8518
0.01054123230278492,0.9122888888888889,0.8568,0.8377
0.027645723894238472,0.9281777777777778,0.8712,0.8457
0.19488123059272766,0.9296888888888889,0.8684,0.8571
0.1312883347272873,0.9409111111111111,0.8722,0.8607
0.3302103877067566,0.9374888888888889,0.8682,0.8559
0.06778880953788757,0.9271555555555555,0.86,0.8469
0.1012372225522995,0.9363111111111111,0.8658,0.8561
0.13521051406860352,0.9253555555555556,0.861,0.8341
0.012809584848582745,0.9306,0.8562,0.8384
0.018727319315075874,0.9239111111111111,0.8578,0.8297
0.022634295746684074,0.9452444444444444,0.8732,0.8597
0.26480627059936523,0.9472444444444444,0.8592,0.8591
0.13152223825454712,0.9516666666666667,0.879,0.8739
0.03597419708967209,0.9517555555555556,0.8796,0.8614
0.09757308661937714,0.9458444444444445,0.8712,0.866
0.08206506073474884,0.9459777777777778,0.8588,0.8431
0.06156613305211067,0.9687777777777777,0.8812,0.8648
0.3308120369911194,0.9610666666666666,0.877,0.873
0.11337978392839432,0.9661111111111111,0.8832,0.8773
0.009273402392864227,0.9664888888888888,0.8768,0.8724
0.5049538016319275,0.9504444444444444,0.8652,0.8495
0.031333766877651215,0.9739777777777778,0.8788,0.875
0.07284372299909592,0.972,0.8846,0.8725
0.0058506568893790245,0.9669555555555556,0.872,0.8555
0.05078889802098274,0.9725555555555555,0.882,0.8794
0.4857484996318817,0.9750444444444445,0.8832,0.8731
0.19504310190677643,0.9725777777777778,0.8816,0.8634
0.4315195381641388,0.9720666666666666,0.8744,0.8702
0.0012644771486520767,0.9786222222222222,0.8856,0.8708
0.005103388335555792,0.9855777777777778,0.895,0.8819
0.0011821008520200849,0.9747777777777777,0.8812,0.8729
0.0009997319430112839,0.9780444444444445,0.8802,0.8786
0.15737999975681305,0.9850888888888889,0.8946,0.875
0.01986883208155632,0.9889777777777777,0.8944,0.8885
0.011164246127009392,0.9871555555555556,0.8884,0.8858
0.005425445269793272,0.9897777777777778,0.8954,0.8885
0.22021926939487457,0.9874222222222222,0.8934,0.8788
0.0008031536126509309,0.9887555555555556,0.8934,0.885
0.0002958134573418647,0.9916444444444444,0.895,0.8841
0.03914264962077141,0.9908888888888889,0.8946,0.8817
0.0028409657534211874,0.9938888888888889,0.9058,0.8968
0.003435841528698802,0.9931777777777778,0.9022,0.8914
0.18414102494716644,0.9907111111111111,0.8952,0.885
0.0010534245520830154,0.9951777777777778,0.9026,0.8885
0.010759354569017887,0.9951777777777778,0.904,0.8829
0.011921749450266361,0.9950444444444444,0.9044,0.8888
0.0005231781397014856,0.9958,0.9032,0.8948
0.0014752873685210943,0.9976,0.9066,0.8904
0.03318271413445473,0.9986666666666667,0.9092,0.8965
3.638715497800149e-05,0.9986888888888888,0.9122,0.9029
4.254121449775994e-05,0.9975555555555555,0.9108,0.8954
2.6568106477498077e-05,0.9982444444444445,0.9112,0.8995
0.000178059286554344,0.9984888888888889,0.907,0.8983
8.1344333011657e-05,0.9988666666666667,0.9102,0.8956
0.00018130849639419466,0.9996444444444444,0.9168,0.9034
9.899293218040839e-05,0.9995333333333334,0.9116,0.9022
0.00017353090515825897,0.9998222222222222,0.9152,0.9015
5.4192336392588913e-05,0.9998222222222222,0.9196,0.9043
0.00016585136472713202,0.9999555555555556,0.9202,0.9086
0.00014804190141148865,0.9999333333333333,0.917,0.9102
6.616085556743201e-06,0.9999333333333333,0.9194,0.909
1.1086394806625322e-05,0.9998444444444444,0.918,0.9093
1.6420784959336743e-05,0.9999555555555556,0.9186,0.9081
2.2991947844275273e-05,0.9999555555555556,0.9184,0.9084
2.4645880330353975e-05,1.0,0.9194,0.909
2.1874580852454528e-05,0.9999555555555556,0.9206,0.9089
