loss,Train,Validation,Test
2.2709052562713623,0.28615555555555555,0.29,0.2909
2.0548079013824463,0.3347777777777778,0.3338,0.3495
2.174797296524048,0.32597777777777776,0.3158,0.3366
2.26465106010437,0.3817333333333333,0.389,0.4012
1.9081107378005981,0.43095555555555554,0.4386,0.4367
1.9573917388916016,0.4537555555555556,0.4644,0.459
1.9430118799209595,0.5126666666666667,0.5208,0.504
1.8539265394210815,0.5578,0.5736,0.5453
1.8471221923828125,0.5817777777777777,0.5842,0.5527
1.8311278820037842,0.6119555555555556,0.621,0.5808
1.7689294815063477,0.6175333333333334,0.6184,0.5863
1.9555914402008057,0.6310888888888889,0.623,0.6019
1.7963404655456543,0.6287333333333334,0.6252,0.5922
1.8300957679748535,0.6405333333333333,0.6338,0.5964
2.211278200149536,0.6526444444444445,0.6508,0.6267
1.7795759439468384,0.6677333333333333,0.6554,0.6057
1.6870523691177368,0.6734222222222223,0.6674,0.6371
2.1135807037353516,0.6334,0.635,0.581
1.6940054893493652,0.6723111111111111,0.6758,0.6365
1.9880250692367554,0.6893111111111111,0.6842,0.6476
2.0505661964416504,0.6861777777777778,0.678,0.6531
1.7530066967010498,0.6861777777777778,0.688,0.6525
1.710896372795105,0.7043777777777778,0.6986,0.6562
1.5484530925750732,0.6996,0.7092,0.6594
1.546792984008789,0.7072222222222222,0.6994,0.6688
1.954965591430664,0.7106888888888889,0.7076,0.6689
1.889369010925293,0.7060444444444445,0.7062,0.6689
1.707227110862732,0.7194444444444444,0.7124,0.6704
1.823011040687561,0.7099555555555556,0.7082,0.6727
1.9971758127212524,0.7336888888888888,0.7304,0.6828
2.022662401199341,0.7311555555555556,0.7322,0.6998
1.6188074350357056,0.7456,0.7398,0.6999
1.7025710344314575,0.7375555555555555,0.7198,0.697
1.8018944263458252,0.7334444444444445,0.732,0.694
1.9748668670654297,0.7495111111111111,0.7402,0.7135
1.4923752546310425,0.7255333333333334,0.7212,0.7013
1.8343948125839233,0.7469777777777777,0.742,0.6976
1.715080738067627,0.7342222222222222,0.7314,0.688
1.7354639768600464,0.762,0.7632,0.7267
1.8555307388305664,0.7578888888888888,0.7602,0.709
1.8649401664733887,0.7655777777777778,0.7648,0.734
2.054940700531006,0.7502444444444445,0.7498,0.7022
1.9582971334457397,0.7694222222222222,0.766,0.7274
2.0845305919647217,0.7550222222222223,0.757,0.7125
1.8888401985168457,0.7797555555555555,0.774,0.7308
1.5881876945495605,0.7800444444444444,0.7748,0.7396
1.8449716567993164,0.7652888888888889,0.7612,0.703
1.8942170143127441,0.7816666666666666,0.777,0.7317
2.107296943664551,0.7796444444444445,0.772,0.737
1.6841368675231934,0.7846888888888889,0.7722,0.7274
1.7632739543914795,0.7799777777777778,0.7714,0.7475
1.749725580215454,0.7863111111111111,0.78,0.7453
1.7038514614105225,0.7952888888888889,0.785,0.7453
1.6899805068969727,0.7947111111111111,0.7902,0.75
1.9126628637313843,0.7964444444444444,0.7908,0.7486
1.8393793106079102,0.8020888888888889,0.7932,0.7489
1.6025969982147217,0.7995777777777778,0.796,0.7487
1.714944839477539,0.8072,0.7928,0.7539
1.6989288330078125,0.8099555555555555,0.7988,0.7743
1.5815364122390747,0.8115111111111111,0.7974,0.7623
1.8252801895141602,0.8241333333333334,0.8138,0.7768
1.69823157787323,0.8150222222222222,0.8036,0.7548
1.7099589109420776,0.8159333333333333,0.8074,0.7559
1.8358714580535889,0.8262444444444444,0.8158,0.7883
1.6900153160095215,0.8305777777777777,0.8284,0.7819
1.6902765035629272,0.8407333333333333,0.8318,0.7915
1.5921744108200073,0.8406,0.8228,0.7874
1.6282867193222046,0.8393777777777778,0.8266,0.7939
1.5860658884048462,0.8423555555555555,0.8288,0.7938
1.833548903465271,0.8465555555555555,0.8336,0.7877
1.655625343322754,0.8545333333333334,0.8316,0.7991
1.7063442468643188,0.856,0.8456,0.7929
1.7158098220825195,0.8595333333333334,0.84,0.7957
1.80133056640625,0.8690222222222223,0.85,0.8076
1.708314061164856,0.8688444444444444,0.8458,0.7994
1.6515535116195679,0.8717555555555555,0.8526,0.8145
1.5322195291519165,0.8796888888888889,0.8534,0.8145
1.5854954719543457,0.8839333333333333,0.8606,0.8255
1.7588305473327637,0.8897777777777778,0.8546,0.8276
1.4612104892730713,0.8868666666666667,0.8664,0.8232
1.4611916542053223,0.8915777777777778,0.8748,0.8326
1.461246132850647,0.8953555555555556,0.8648,0.8286
1.4611964225769043,0.8980444444444444,0.872,0.8354
1.6489851474761963,0.9016888888888889,0.8768,0.8314
1.5858592987060547,0.9029333333333334,0.8784,0.8314
1.4744856357574463,0.9062444444444444,0.8802,0.8336
1.5844852924346924,0.9094666666666666,0.8782,0.8392
1.9540432691574097,0.9133777777777777,0.8772,0.8406
1.4641234874725342,0.9159555555555555,0.8844,0.8421
1.5920283794403076,0.9176666666666666,0.8754,0.8407
1.7115267515182495,0.9182444444444444,0.8844,0.8431
1.482640027999878,0.9197111111111111,0.8862,0.8403
1.641906499862671,0.9214,0.8868,0.8439
1.4611502885818481,0.9242444444444444,0.888,0.8443
1.4611780643463135,0.9240888888888888,0.8904,0.8463
1.7118748426437378,0.9239777777777778,0.8892,0.8449
1.7159675359725952,0.9250444444444444,0.8892,0.8459
1.7653437852859497,0.9245333333333333,0.8846,0.8464
1.7956002950668335,0.9258,0.8904,0.8461
1.4611992835998535,0.9237777777777778,0.8834,0.8465
