loss,Train,Validation,Test
2.030000925064087,0.2594222222222222,0.2594,0.282
1.9963176250457764,0.32304444444444447,0.3168,0.3325
2.105457305908203,0.34224444444444446,0.3378,0.348
2.3227806091308594,0.36644444444444446,0.363,0.3644
1.9544119834899902,0.3886222222222222,0.3924,0.3843
2.1568257808685303,0.4206,0.4262,0.4168
1.932008981704712,0.41224444444444447,0.4102,0.4264
1.9903740882873535,0.4348222222222222,0.4374,0.4197
2.077446699142456,0.5193111111111111,0.504,0.5104
2.0724973678588867,0.5506888888888889,0.5508,0.542
1.9165958166122437,0.5769777777777778,0.5688,0.5512
2.0261685848236084,0.5749111111111112,0.5762,0.5644
1.9463040828704834,0.5969777777777778,0.6036,0.5889
2.039639472961426,0.5868222222222222,0.5856,0.5748
1.9829405546188354,0.6267555555555555,0.6212,0.6109
2.059544801712036,0.6244666666666666,0.62,0.6109
1.996222734451294,0.6036444444444444,0.6022,0.6002
1.7356926202774048,0.6173111111111111,0.625,0.5907
2.0104939937591553,0.6413333333333333,0.6476,0.6324
1.5595414638519287,0.6352666666666666,0.6276,0.6108
1.8049602508544922,0.6417333333333334,0.6376,0.6141
1.6829150915145874,0.6569555555555555,0.6554,0.6375
2.0171422958374023,0.6688444444444445,0.6624,0.6481
1.691656470298767,0.6745555555555556,0.6714,0.6539
1.9612005949020386,0.6734,0.6786,0.6522
1.8899049758911133,0.6669333333333334,0.6662,0.66
1.906473159790039,0.6825555555555556,0.6806,0.6642
1.832432746887207,0.6888888888888889,0.691,0.6647
1.9639687538146973,0.6798,0.6772,0.6556
1.8481007814407349,0.7160222222222222,0.7128,0.6894
1.7649509906768799,0.6903111111111111,0.6916,0.6617
1.7830873727798462,0.7119555555555556,0.7144,0.6838
1.703986644744873,0.7068222222222222,0.699,0.6872
1.9570722579956055,0.7047777777777777,0.704,0.687
1.9325509071350098,0.7172,0.7074,0.6931
1.902055263519287,0.7192,0.7108,0.6843
1.7249860763549805,0.7165333333333334,0.7128,0.6851
1.7946648597717285,0.7182222222222222,0.7174,0.7038
1.5824451446533203,0.7335777777777778,0.7306,0.7037
1.928760051727295,0.7431333333333333,0.7378,0.718
1.602653980255127,0.7377333333333334,0.7302,0.6958
1.7256197929382324,0.7375555555555555,0.7416,0.7018
1.8133575916290283,0.7406666666666667,0.7368,0.7075
1.68598210811615,0.7364888888888889,0.7432,0.702
1.6262651681900024,0.7309111111111111,0.7202,0.718
1.6537511348724365,0.7627777777777778,0.7568,0.7415
1.7125381231307983,0.7499333333333333,0.7394,0.7202
1.5096995830535889,0.7694444444444445,0.763,0.7399
1.8103829622268677,0.7710444444444444,0.7628,0.7345
1.714404821395874,0.7687777777777778,0.767,0.7438
1.7186286449432373,0.7660666666666667,0.7518,0.7346
1.747839093208313,0.7735333333333333,0.7654,0.7465
1.7110803127288818,0.7738,0.7724,0.7554
1.834708333015442,0.7773777777777777,0.7676,0.7563
1.5877971649169922,0.7940888888888888,0.789,0.7588
1.8354613780975342,0.7766666666666666,0.7722,0.7386
1.7093853950500488,0.7905111111111112,0.7778,0.755
1.6889251470565796,0.8007555555555556,0.7942,0.7717
1.8360755443572998,0.7988222222222222,0.7866,0.7666
1.825018048286438,0.7962888888888889,0.7862,0.7501
1.6989154815673828,0.7944222222222223,0.7838,0.7535
1.806851863861084,0.8040888888888889,0.7862,0.7661
1.6227095127105713,0.8115555555555556,0.802,0.7738
1.8611879348754883,0.8221111111111111,0.8082,0.7657
1.5906697511672974,0.8183555555555555,0.8066,0.7716
1.956395149230957,0.8276888888888889,0.8124,0.7845
1.5885565280914307,0.833,0.8114,0.7872
1.824347972869873,0.8362888888888889,0.8258,0.7854
1.46187162399292,0.8299333333333333,0.8108,0.7857
1.719671368598938,0.8439333333333333,0.8232,0.7895
1.6122593879699707,0.8418888888888889,0.8196,0.789
1.5860850811004639,0.8486666666666667,0.8312,0.8097
1.5816757678985596,0.8531777777777778,0.8336,0.8047
1.7162151336669922,0.8547555555555556,0.8362,0.7967
1.6322076320648193,0.8568,0.8304,0.8011
1.7136073112487793,0.8659111111111111,0.8368,0.811
1.7364928722381592,0.8671777777777778,0.8452,0.8073
1.4793872833251953,0.8718,0.8482,0.8095
1.896124005317688,0.8769777777777777,0.8472,0.8056
1.8258235454559326,0.8795111111111111,0.8518,0.8156
1.832101583480835,0.8858666666666667,0.851,0.8151
1.5000439882278442,0.8866222222222222,0.8512,0.8216
1.606823444366455,0.8910666666666667,0.8564,0.8206
1.581689715385437,0.8927111111111111,0.8618,0.8238
1.7027487754821777,0.8957333333333334,0.8596,0.829
1.647098422050476,0.8999333333333334,0.8628,0.8266
1.9579695463180542,0.9031111111111111,0.8682,0.8279
1.5867177248001099,0.9038888888888889,0.8686,0.829
1.463643193244934,0.9092888888888889,0.874,0.8336
1.5208604335784912,0.9108,0.8716,0.8332
1.824041485786438,0.9111777777777778,0.8764,0.8342
1.7098338603973389,0.9129333333333334,0.8702,0.8325
1.4652379751205444,0.9157555555555555,0.879,0.8387
1.5955599546432495,0.9165555555555556,0.8692,0.8396
1.5381970405578613,0.9150888888888888,0.8776,0.8381
1.7801342010498047,0.9172666666666667,0.878,0.8344
1.5914573669433594,0.9192222222222223,0.881,0.8359
1.7944029569625854,0.9169777777777778,0.8716,0.8368
1.5861810445785522,0.9207111111111111,0.8726,0.8364
1.5863841772079468,0.9190666666666667,0.8746,0.8361
